,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
133,Adam Morris, Awareness of implicit attitudes reexamined: Large-scale tests in two experimental paradigms,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,Princeton University,40.33867515,-74.65836549131683,Mercer County,,New Jersey,United States
134,Sai Sun,Multimodal investigations of emotional face processing and social trait judgment of faces,To which world regions does the valence–dominance model of social perception apply?,Tohoku University,38.2574176,140.85202535222083,,Sendai,,Japan
135,Gordon Ingram, Children endorse deterrence motivations for third-party punishment but derive higher enjoyment from compensating victims,Children’s restorative justice in an intergroup context,RMIT Vietnam,21.0292165,105.811518,,Hà Nội,,Vietnam
136,Jamie Amemiya, Thinking structurally: A cognitive framework for understanding how people infer structural causes of inequality,Testing the limits of structural thinking about gender,Occidental College,34.12719495,-118.20992029989196,Los Angeles County,Los Angeles,California,United States
137,Alex Lee Jones,Which facial features are central in impression formation?,To which world regions does the valence–dominance model of social perception apply?,Swansea University,51.6080596,-3.9773969,Swansea,Swansea,Wales,United Kingdom
138,Eric-Jan Wagenmakers,"The benefits, barriers, and risks of big-team science",To which world regions does the valence–dominance model of social perception apply?,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
139,jie he,The squeaky wheel gets the grease: Recipients' responses influence children's costly third-party punishment of unfairness,Children’s restorative justice in an intergroup context,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
140,Antonia Misch, The development of intergroup bias: Social-cognitive foundations and pathways forward,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,LMU Munich,48.1566081,11.5829267,,Munich,Bavaria,Germany
141,Michal Reifen-Tagar,Political ideology in early childhood: Making the case for studying young children in political psychology,Emerging complexity in children's conceptualization of the wealthy and the poor,Reichman University (IDC Herzliya),32.17625285,34.83709109840297,,,Tel-Aviv District,Israel
142,Jordan W. Moon, The interaction of faith and science mindsets predicts perceptions of the relationship between religion and science,A many-analysts approach to the relation between religiosity and well-being,Centre for Culture,41.1188119,25.4013035,Rodopi Regional Unit,Komotini,Macedonia and Thrace,Greece
143,Shaocong Ma, The impact of sufferers' wealth status on pain perceptions,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,The Hong Kong University of Science and Technology,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
144,Claire Peneycad,"Medicine for the soul:(Non) religious identity, coping, and mental health during the COVID-19 pandemic",A many-analysts approach to the relation between religiosity and well-being,Carleton University,45.3858581,-75.69500411688679,,Ottawa,Ontario,Canada
145,Katherine McAuliffe,Children as assessors and agents of third-party punishment,Children’s restorative justice in an intergroup context,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
146,Jonathan B. Freeman,Shifts in facial impression structures across group boundaries,To which world regions does the valence–dominance model of social perception apply?,Columbia University,40.80775585,-73.96161411567529,New York County,New York,New York,United States
147,Julia Marshall,Developing conceptions of forgiveness across the lifespan,Children’s restorative justice in an intergroup context,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
148,GÜLSEREN SAĞSÖZ ERHAN,An Investigation into the Perceptions and Stereotypical Beliefs of Preschool-Age Children Regarding Poverty,Emerging complexity in children's conceptualization of the wealthy and the poor,İnönü Üniversitesi,38.3300529,38.437391327437396,,Malatya,,Turkey
149,Xin Yang,The development and predictors of a preference for strivers over naturals in the United States and China,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
150,Wei Li,Developmental psychologists should adopt citizen science to improve generalization and reproducibility,To which world regions does the valence–dominance model of social perception apply?,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
151,Xin Zhao,Children's consideration of motivation in evaluations of socially (un) mindful actions,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
152,Laura Pareja Conto,Restorative justice as a context for moral education in K-12 schools,Children’s restorative justice in an intergroup context,Concordia University,45.4952479,-73.57858216019235,Urban agglomeration of Montreal,Montreal,Quebec,Canada
153,Lin Bian,Why are there no girls? Increasing children's recognition of structural causes of the gender gap in STEM,Testing the limits of structural thinking about gender,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
154,Anna Dreber,Heterogeneity in effect size estimates: Empirical evidence and practical implications,A many-analysts approach to the relation between religiosity and well-being,Stockholm School of Economics,56.9591273,24.1076116,,Riga,,Latvia
155,Gandalf Nicolas,Unconstrained descriptions of Facebook profile pictures support high-dimensional models of impression formation,To which world regions does the valence–dominance model of social perception apply?,Rutgers University - New Brunswick,40.492977800000006,-74.44510808059266,Middlesex County,New Brunswick,New Jersey,United States
156,Xin Yang,Navigating the Social World: Children's Developing Understanding of Groups and Inequalities,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
157,Sally B. Barker,"If not belief in God, then what? Identifying factors that contribute to well-being among Polish nonbelievers",A many-analysts approach to the relation between religiosity and well-being,University of Maine,44.901518800000005,-68.66172221072623,Penobscot County,,Maine,United States
158,Melike M Fourie,(Not) part of the team: Racial empathy bias in a South African minimal group study,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Neuroscience Institute,51.469975000000005,-0.08908173749337833,,London,England,United Kingdom
159,Gordon Ingram, Children endorse deterrence motivations for third-party punishment but derive higher enjoyment from compensating victims,To punish or to restore: how children evaluate victims' responses to immorality,RMIT Vietnam,21.0292165,105.811518,,Hà Nội,,Vietnam
160,Jolynn Pek,Construct validity and the validity of replication studies: A systematic review.,To which world regions does the valence–dominance model of social perception apply?,The Ohio State University,40.00568015,-83.02866123579578,Franklin County,Columbus,Ohio,United States
161,Carina Giesen,False contingency knowledge reverses the color–word contingency learning effect.,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,Health,34.351765349999994,47.0737042,Kermanshah County,Kermanshah,,Iran
162,Michal Reifen-Tagar,Political ideology in early childhood: Making the case for studying young children in political psychology,Testing the limits of structural thinking about gender,Reichman University (IDC Herzliya),32.17625285,34.83709109840297,,,Tel-Aviv District,Israel
163,Xin Yang,Testing the limits of structural thinking about gender,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
164,JUN GU,The face of wrongdoing? An expectancy violations perspective on CEO facial characteristics and media coverage of misconducting firms,To which world regions does the valence–dominance model of social perception apply?,Macquarie University,-33.774197,151.1127326987788,,Sydney,New South Wales,Australia
165,Xin Yang, Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
166,Shaocong Ma, The impact of sufferers' wealth status on pain perceptions,Emerging complexity in children's conceptualization of the wealthy and the poor,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
167,严璘璘,Racial salience modulated the face race lightness illusion: A comparative study of Caucasians and Asians,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,浙江理工大学,30.31545455,120.3486958081547,,Qiantang District,Zhejiang,China
168,Vanessa Lazaro,Children's social preference for peers engaged in brilliance-required activities: The impact of gender and race.,The development and predictors of a preference for strivers over naturals in the United States and China,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
169,Mioko Sudo, Moral gradients based on social boundaries: Children prioritize themselves and their ingroup when resources are limited,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,Hitotsubashi University,35.693795300000005,139.44392836941262,,Kunitachi,,Japan
170,Laura Thi Germine,Developmental psychologists should adopt citizen science to improve generalization and reproducibility,To which world regions does the valence–dominance model of social perception apply?,Harvard Medical School,42.336831849999996,-71.10380921118058,Suffolk County,Boston,Massachusetts,United States
171,Andrea T Kramer,The relationship between attachment representations and minimal intergroup bias in preschool‐aged children,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Chicago Botanic Garden,42.1523777,-87.7859462,Cook County,,Illinois,United States
172,Sarah-Jane Leslie,How generic language shapes the development of social thought,Testing the limits of structural thinking about gender,Machine Learning,-34.92073555,138.60803269841216,Adelaide City Council,Adelaide,South Australia,Australia
173,Jonathan B. Freeman,A Multidimensional Neural Representation of Face Impressions,To which world regions does the valence–dominance model of social perception apply?,Columbia University,40.80775585,-73.96161411567529,New York County,New York,New York,United States
174,Lin Bian,The development and predictors of a preference for strivers over naturals in the United States and China,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
175,Jessica Kay Flake,Facial impressions are predicted by the structure of group stereotypes,To which world regions does the valence–dominance model of social perception apply?,McGill University,45.50688675,-73.57908551043636,Urban agglomeration of Montreal,Montreal,Quebec,Canada
176,Michaela Gummerum,"Ire and punishment: incidental anger and costly punishment in children, adolescents, and adults",In defense of the commons: Young children negatively evaluate and sanction free riders,University of Warwick,52.3813073,-1.5639569481637439,,Coventry,England,United Kingdom
177,Shaocong Ma,The impact of sufferers' wealth status on pain perceptions: Its development and relation to allocation of healthcare resources,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
178,Cai Guo, Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
179,Paul Robert Connor,Unconstrained descriptions of Facebook profile pictures support high-dimensional models of impression formation,To which world regions does the valence–dominance model of social perception apply?,Stevens Institute of Technology,40.744809599999996,-74.0252392276461,Hudson County,,New Jersey,United States
180,Yumin Wang, Grilling the data: application of specification curve analysis to red meat and all-cause mortality,A many-analysts approach to the relation between religiosity and well-being,University of Southern California,34.02186895,-118.285857923125,Los Angeles County,Los Angeles,California,United States
181,"Aaron Adibe Agbo, Ph.D",Religiosity and well-being among Nigerians: Exploring the mediating role of fatalism,A many-analysts approach to the relation between religiosity and well-being,University of Nigeria,6.86410245,7.409739732182379,,,Enugu State,Nigeria
182,Manvir Singh,Prosocial religions as folk-technologies of mutual policing,In defense of the commons: Young children negatively evaluate and sanction free riders,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
183,May Ling Halim,Testing the generalizability of minimal group attitudes in minority and majority race children,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Long Beach,33.7690164,-118.191604,Los Angeles County,Long Beach,California,United States
184,Jamie Cummins,Evidence against effects on the Affect Misattribution Procedure being unaware: AMP effects involve construct-irrelevant individual differences,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,University of Bern,46.95097255,7.438684130809055,Bern-Mittelland administrative district,Bern,Bern,Switzerland
185,Steven C. Hayes,"[BOOK][B] Prosocial: Using evolutionary science to build productive, equitable, and collaborative groups",In defense of the commons: Young children negatively evaluate and sanction free riders,Reno,39.5261206,-119.8126581,Washoe County,Reno,Nevada,United States
186,Ian Hussey,Evidence against effects on the Affect Misattribution Procedure being unaware: AMP effects involve construct-irrelevant individual differences,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,University of Bern,46.95097255,7.438684130809055,Bern-Mittelland administrative district,Bern,Bern,Switzerland
187,Jonathan Jong,Resolving religious debates through a multiverse approach,A many-analysts approach to the relation between religiosity and well-being,Coventry University,52.4056372,-1.4997222676795412,,Coventry,England,United Kingdom
188,Kamlesh Singh,[BOOK][B] Religious and spiritual practices in India: A positive psychological perspective,A many-analysts approach to the relation between religiosity and well-being,Professor of Psychology,38.75232725,-9.155417497333243,Lisbon,Lisbon,,Portugal
189,Bruno Schivinski,Consumer perceptions of food packaging in its role in fighting food waste,A many-analysts approach to the relation between religiosity and well-being,Melbourne,-37.8142454,144.9631732,,Melbourne,Victoria,Australia
190,Tamar Kushnir,"Children are eager to take credit for prosocial acts, and cost affects this tendency",In defense of the commons: Young children negatively evaluate and sanction free riders,Psychology & Neuroscience,51.469975000000005,-0.08908173749337833,,London,England,United Kingdom
191,Terence Daniel Dores Cruz,Gossip and reputation in everyday life,To which world regions does the valence–dominance model of social perception apply?,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
192,Victor Shiramizu,Examining the “attractiveness halo effect” across cultures,To which world regions does the valence–dominance model of social perception apply?,University of Strathclyde,55.8618812,-4.241956565778082,Glasgow City,Glasgow,Scotland,United Kingdom
193,Yarrow Dunham, Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
194,Kesong Hu, Brain responses to self-and other-unfairness under resource distribution context: Meta-analysis of fMRI studies,In defense of the commons: Young children negatively evaluate and sanction free riders,University of Arkansas at Little Rock,34.72236805,-92.33830255268586,Pulaski County,Little Rock,Arkansas,United States
195,Onah Nkechi G. Ph.D,Religiosity and well-being among Nigerians: Exploring the mediating role of fatalism,A many-analysts approach to the relation between religiosity and well-being,cultural Studies,43.6651791,-79.412337,,Toronto,Ontario,Canada
196,Brian D. Earp," Relational morality in psychology and philosophy: past, present, and future",Beyond our tribe: Developing a normative sense of group-transcendent fairness.,National University of Singapore,1.2962018,103.77689765953073,,Singapore,,Singapore
197,Anthony J. Maiolatesi,The Relation between updated implicit evaluations and the Trust Game,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
198,Fan Yang,Condemned or valued: Young children evaluate nonconformity based on nonconformists' group orientations,In defense of the commons: Young children negatively evaluate and sanction free riders,The University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
199,Tyler Pitre, Grilling the data: application of specification curve analysis to red meat and all-cause mortality,A many-analysts approach to the relation between religiosity and well-being,University of Toronto,43.663461999999996,-79.39775966248058,,Toronto,Ontario,Canada
200,Wen Zhou,Motivating children's cooperation to conserve forests,In defense of the commons: Young children negatively evaluate and sanction free riders,Duke Kunshan University,31.417489,120.89523251885868,,Kunshan,Jiangsu,China
201,Rodney Tompkins,Expectations of intergroup empathy bias emerge by early childhood.,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
202,Johanna K. Falbén,People perception and stereotype-based responding: task context matters,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
203,Jordan W. Moon, The interaction of faith and science mindsets predicts perceptions of the relationship between religion and science,A many-analysts approach to the relation between religiosity and well-being,Brunel University London,51.5326092,-0.47404989072672915,,London,England,United Kingdom
204,Kaiyuan Chen,What makes us “we”? The positivity bias in essentialist beliefs about group attributes,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Salzburg,47.7947829,13.054159709492996,,Salzburg,Salzburg,Austria
205,Eric Hehman,Little between-region and between-country variance when people form impressions of others,To which world regions does the valence–dominance model of social perception apply?,McGill University,45.50688675,-73.57908551043636,Urban agglomeration of Montreal,Montreal,Quebec,Canada
206,Rodney Tompkins,Expectations of intergroup empathy bias emerge by early childhood.,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,San Diego,32.7174202,-117.162772,San Diego County,San Diego,California,United States
207,Marianna Zhang,Let's talk structure: The positive outcomes of structural thinking,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
208,Benedek Kurdi,How do explicit and implicit evaluations shift? A preregistered meta-analysis of the effects of co-occurrence and relational information.,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,University of Illinois Urbana–Champaign,40.076154450000004,-88.22331340640494,Champaign County,Urbana,Illinois,United States
209,Bruno Schivinski,Consumer perceptions of food packaging in its role in fighting food waste,A many-analysts approach to the relation between religiosity and well-being,"RMIT University, Melbourne",-37.8057346,144.9653216297798,,Melbourne,Victoria,Australia
210,Brett Mercier,Does belief in free will increase support for economic inequality?,In defense of the commons: Young children negatively evaluate and sanction free riders,University of Toronto,43.663461999999996,-79.39775966248058,,Toronto,Ontario,Canada
211,Janine Oostenbroek,Preferential forgiveness: The impact of group membership and remorse on preschoolers' forgiveness.,Minimal but meaningful: Probing the limits of randomly assigned social identities,The University of Queensland,-27.49741805,153.01316955983583,,,Queensland,Australia
212,Laura Thi Germine,Developmental psychologists should adopt citizen science to improve generalization and reproducibility,To which world regions does the valence–dominance model of social perception apply?,McLean Hospital,42.393267949999995,-71.19024470958927,Middlesex County,,Massachusetts,United States
213,Katherine Kinzler,Children's thinking about group-based social hierarchies,Emerging complexity in children's conceptualization of the wealthy and the poor,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
214,Ted Ruffman,Ostracism and Inclusion: Negative In-Group Favoritism and Belonging,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Otago,-45.8649793,170.51461487350844,Dunedin City,Dunedin,Otago,New Zealand
215,"Weiwei Cai, SMIEEE",Quadratic polynomial guided fuzzy C-means and dual attention mechanism for medical image segmentation,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Northern Arizona University,35.18308665,-111.654960950576,Coconino County,Flagstaff,Arizona,United States
216,Ian J. Davidson,Construct validity and the validity of replication studies: A systematic review.,To which world regions does the valence–dominance model of social perception apply?,Concordia University of Edmonton,53.5607569,-113.44572290714713,,Edmonton,Alberta,Canada
217,Sally Y. Xie,Doing better data visualization,To which world regions does the valence–dominance model of social perception apply?,Princeton University,40.33867515,-74.65836549131683,Mercer County,,New Jersey,United States
218,Bertram Gawronski,"Unawareness of attitudes, their environmental causes, and their behavioral effects",Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,Austin,30.2711286,-97.7436995,Travis County,Austin,Texas,United States
219,Flora Schwartz,"The good, the rich, and the powerful: How young children compensate victims of moral transgressions depending on moral character, wealth, and social dominance",Children’s restorative justice in an intergroup context,Université Toulouse - Jean Jaurès,43.578375050000005,1.401000308569734,Haute-Garonne,Toulouse,Occitania,France
220,Johnny van Doorn,Bayes factors for mixed models: A discussion,A many-analysts approach to the relation between religiosity and well-being,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
221,Russell Jude de Souza, Grilling the data: application of specification curve analysis to red meat and all-cause mortality,A many-analysts approach to the relation between religiosity and well-being,McMaster University,43.263939699999995,-79.917825231868,,Hamilton,Ontario,Canada
222,Marjorie Rhodes,How generic language shapes the development of social thought,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
223,Theresa M Entringer, Infection rates matter–especially for people from lower social class,A many-analysts approach to the relation between religiosity and well-being,DIW,31.5019018,75.3274105,Kapurthala Tahsil,,Punjab,India
224,Holly Recchia,Restorative justice as a context for moral education in K-12 schools,Children’s restorative justice in an intergroup context,Concordia University,45.4952479,-73.57858216019235,Urban agglomeration of Montreal,Montreal,Quebec,Canada
225,Claudia G. Sehl,Local or foreign? Flexibility in children's preference for similar others.,Minimal but meaningful: Probing the limits of randomly assigned social identities,Psychology,40.5964565,-74.14962047239055,,New York,New York,United States
226,Fan Yang, Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,The University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
227,Andy Young,Understanding trait impressions from faces,To which world regions does the valence–dominance model of social perception apply?,University of York,53.9453903,-1.0314592943104675,York,,England,United Kingdom
228,Joshua Knobe,Biological essentialism correlates with (but doesn't cause?) intergroup bias,Testing the limits of structural thinking about gender,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
229,magnus johannesson,Heterogeneity in effect size estimates,A many-analysts approach to the relation between religiosity and well-being,Stockholm School of Economics,56.9591273,24.1076116,,Riga,,Latvia
230,Yarrow Dunham,Children's restorative justice in an intergroup context,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
231,Jimmy Calanchini,Age invariance in implicit bias: Alternative perspectives and their implications for the development of implicit cognition,Minimal but meaningful: Probing the limits of randomly assigned social identities,Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
232,Holly Recchia,Taking a developmental perspective on restorative justice in schools,Children’s restorative justice in an intergroup context,Concordia University,45.4952479,-73.57858216019235,Urban agglomeration of Montreal,Montreal,Quebec,Canada
233,R.I.M. Dunbar,The role of religion in adolescent mental health: faith as a moderator of the relationship between distrust and depression,A many-analysts approach to the relation between religiosity and well-being,UK,6.3110548,20.5447525,,,Ouaka,Central African Republic
234,Jessica Kay Flake,Facial impressions are predicted by the structure of group stereotypes,To which world regions does the valence–dominance model of social perception apply?,Modelling,55.6833252,12.5857893,,Copenhagen,Capital Region of Denmark,Denmark
235,Robert Böhm,Heterogeneity in effect size estimates,A many-analysts approach to the relation between religiosity and well-being,University of Vienna,48.2131469,16.35997,,Vienna,,Austria
236,Xin Yang,The development and predictors of a preference for strivers over naturals in the United States and China,Emerging complexity in children's conceptualization of the wealthy and the poor,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
237,James P. Dunlea,Children's and adults' understanding of punishment and the criminal justice system,In defense of the commons: Young children negatively evaluate and sanction free riders,Walgreens Co.,42.156765199999995,-87.87115616395592,Lake County,,Illinois,United States
238,Julia Marshall,How retributive motives shape the emergence of third‐party punishment across intergroup contexts,Minimal but meaningful: Probing the limits of randomly assigned social identities,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
239,Bastian Jaeger,Which facial features are central in impression formation?,To which world regions does the valence–dominance model of social perception apply?,Tilburg University,51.56306085,5.043598467727852,,Tilburg,North Brabant,Netherlands
240,Isabel Thielmann,Gossip and reputation in everyday life,To which world regions does the valence–dominance model of social perception apply?,Max Planck Institute for the Study of Crime,47.9812382,7.848784982178609,,Freiburg im Breisgau,Baden-Württemberg,Germany
241,Marjorie Rhodes, Brief Report: Structural explanations for inequality reduce children's biases and promote rectification only if they implicate the high-status group,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
242,Marina Proft,Chimpanzees consider freedom of choice in their evaluation of social action,In defense of the commons: Young children negatively evaluate and sanction free riders,Georg-August-Universität Göttingen,51.5592251,9.952444154453854,Landkreis Göttingen,Göttingen,Lower Saxony,Germany
243,Victoria V. Rostovtseva,Perception of emergent leaders' faces and evolution of social cheating: cross-cultural experiments,In defense of the commons: Young children negatively evaluate and sanction free riders,Russian Academy of Sciences,55.71080885000001,37.57896991984255,,Moscow,Moscow,Russia
244,Michael Tomasello,Children's sense of fairness as equal respect,In defense of the commons: Young children negatively evaluate and sanction free riders,Max Planck for Evolutionary Anthropology,51.3210522,12.394925046086962,,Leipzig,Saxony,Germany
245,Rodney Tompkins,Expectations of intergroup empathy bias emerge by early childhood.,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,San Diego,32.7174202,-117.162772,San Diego County,San Diego,California,United States
246,Ipek Oruc, Face perception: A brief journey through recent discoveries and current directions,To which world regions does the valence–dominance model of social perception apply?,Visual Sciences,9.9645495,76.30524874359662,Kanayannur,Ernakulam,Kerala,India
247,Felix Warneken,Why do children punish? Fair outcomes matter more than intent in children's second-and third-party punishment,In defense of the commons: Young children negatively evaluate and sanction free riders,University of Michigan,42.2942142,-83.71003893509601,Washtenaw County,Ann Arbor,Michigan,United States
248,Kelsey Drea,Contextual factors that heighten interest in coalitional alliances with men possessing formidable facial structures,To which world regions does the valence–dominance model of social perception apply?,The University of Southern Mississippi,30.3528503,-89.13778308631831,Harrison County,,Mississippi,United States
249,Victoria V. Rostovtseva,Perception of emergent leaders' faces and evolution of social cheating: cross-cultural experiments,In defense of the commons: Young children negatively evaluate and sanction free riders,Anthropology,51.52508685,-0.1314904284665826,,London,England,United Kingdom
250,Constantine Sedikides,"Unequal selves in the classroom: Nature, origins, and consequences of socioeconomic disparities in children's self-views.",Emerging complexity in children's conceptualization of the wealthy and the poor,University of Southampton,1.42991655,103.61217722346026,,Iskandar Puteri,Johor,Malaysia
251,Yarrow Dunham,The development and predictors of a preference for strivers over naturals in the United States and China,Emerging complexity in children's conceptualization of the wealthy and the poor,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
252,Jayd Blankenship, Preschoolers selectively trust and selectively share with others based on their past accuracy and intentions,In defense of the commons: Young children negatively evaluate and sanction free riders,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
253,Katie Vasquez,Expectations of intergroup empathy bias emerge by early childhood.,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
254,Eiko I. Fried,History repeating: guidelines to address common problems in psychedelic science,A many-analysts approach to the relation between religiosity and well-being,Leiden University,52.1686355,4.459702754883444,,Leiden,South Holland,Netherlands
255,Michael Price,Science and religion around the world: Compatibility between belief systems predicts increased well-being,A many-analysts approach to the relation between religiosity and well-being,Brunel University London,51.5326092,-0.47404989072672915,,London,England,United Kingdom
256,Onah Nkechi G. Ph.D,Religiosity and well-being among Nigerians: Exploring the mediating role of fatalism,A many-analysts approach to the relation between religiosity and well-being,Enugu State,6.5536094,7.4143061,Udi,,Enugu State,Nigeria
257,Samuel A. Mehr,Developmental psychologists should adopt citizen science to improve generalization and reproducibility,To which world regions does the valence–dominance model of social perception apply?,University of Auckland,-36.8660955,174.77373309361866,,Auckland,Auckland,New Zealand
258,Yochanan E. Bigman,Judging robot ability: How people form implicit and explicit impressions of robot competence.,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,The Hebrew University,31.9052114,34.80365479697896,,,Center District,Israel
259,Dylan Wiwad,Measurement issues in the many analysts religion project,A many-analysts approach to the relation between religiosity and well-being,Slack,53.6537065,-1.876206,,Kirklees,England,United Kingdom
260,Xin Zhao,The development and predictors of a preference for strivers over naturals in the United States and China,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
261,Isabel Thielmann,Gossip and reputation in everyday life,To which world regions does the valence–dominance model of social perception apply?,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
262,Huisi (Jessica) Li,The impact of sufferers' wealth status on pain perceptions: Its development and relation to allocation of healthcare resources,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,University of Washington,47.6554303,-122.30016924820552,King County,Seattle,Washington,United States
263,Katherine McAuliffe,Children as assessors and agents of third-party punishment,In defense of the commons: Young children negatively evaluate and sanction free riders,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
264,Eiko I. Fried,History repeating: A roadmap to address common problems in psychedelic science,A many-analysts approach to the relation between religiosity and well-being,Leiden University,52.1686355,4.459702754883444,,Leiden,South Holland,Netherlands
265,Tamar Kushnir,"Children are eager to take credit for prosocial acts, and cost affects this tendency",In defense of the commons: Young children negatively evaluate and sanction free riders,Duke University,36.00015569999999,-78.94422972195878,Durham County,Durham,North Carolina,United States
